Equipo,Comp,PL,Edad,Pos.,PJ,Titular,Mín,90 s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls./90,Ast,G+A/90,G-TP/90,G+A-TP,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Dis,DaP,%_de TT,Dis/90,DaP/90,G/T,G/TalArc,Dist,FK,Pases_exito,Pases_intentados,%_pase_exito,Dist.tot.pase,Dist.pase.prg,Pase_corto_exito,Pase_corto_intentado,%Pase_corto_exito,Pase_medio_exito,Pase_medio_intentado,%Pase_medio_exito,Pase_largo_exito,Pase_largo_intentado,%Pase_largo_exito,Pases_clave,Pases_1/3,Pases_Area,CrAP,Pases_tiros_libres,Cambios_juego,Pcz,SE,SE_dentro,SE_fuera,SE_recto,Pases_fuera_juego,Pases_bloqueados,ACT,ACT/90,PassLive,PassDead,ACT/HASTA,ACT/Dis,ACT/FR,ACT/Def,ACG,ACG/90,PassLive.1,PassDead.1,ACG/HASTA.1,ACG/Dis,ACG/FR,ACG/Def,Tkl,TklG,Duelos_exito,Duelos_intentados,%Duelos_exito,Duelos_perdidos,Bloqueos_defensivos,Disparos_bloqueados,Pases_interceptados,Intercepciones,Tkl+Int,Despejes_defensivos,Errores_provocan_tiro_oponente,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Transportes,Errores de control,Pases_recibidos,Pases_progresivos_decididos,2a amarilla,Fls,FR,Recuperaciones_balón,Aereos_ganados,Aereos_perdidos,%Aereo_ganados,GC,GC/90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,Penal_concedido,Penal_detenido,PC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Long/prom/Saque/meta,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
Bournemouth,eng Premier League,28,25.8,47.0,29,319,2610,29.0,47,36,83,41,6,7,74,1,52.9,47.4,36.5,83.9,564,1136,1.62,1.24,2.86,1.41,2.66,1.82,1.26,3.08,1.63,2.89,457,159,34.8,15.76,5.48,0.09,0.26,16.6,8,9560,12561,76.1,174602,66498,4120,4772,86.3,4217,5000,84.3,1040,2167,48.0,354,937,261,74,312,58,624,178,133,14,3,57,239,807,27.83,619,55,34,51,28,20,82,2.83,56,5,4,5,10,2,564,329,242,508,47.6,266,359,108,251,289,853,762,17,16294,1710,4919,6937,4650,805,8776,473,9467,1124,0,399,296,1452,429,490,46.7,36,1.24,142,106,77.5,12,8,9,6,20.7,4,0,0,4,1,4,0,45.4,0.3,9.4,0.32,698,40.2,364,16,4.4,46,1.59,12.6
Brentford,eng Premier League,27,26.6,48.2,29,319,2610,29.0,50,32,82,46,4,4,40,1,44.7,41.6,32.6,74.1,470,1072,1.72,1.1,2.83,1.59,2.69,1.54,1.12,2.66,1.43,2.56,334,134,40.1,11.52,4.62,0.14,0.34,15.4,9,10486,13369,78.4,190109,72413,4646,5352,86.8,4546,5358,84.8,1086,2043,53.2,255,860,256,70,294,55,523,131,101,2,0,57,225,607,20.93,453,53,29,34,28,10,86,2.97,60,8,4,6,7,1,479,292,239,444,53.8,205,372,149,223,225,704,827,19,16723,2584,6509,6197,4164,748,8859,387,10333,1058,0,227,258,1260,500,436,53.4,45,1.55,165,123,73.3,12,5,12,5,17.2,1,0,0,1,0,2,3,43.7,0.26,1.7,0.06,1132,35.7,471,39,8.3,27,0.93,11.4
Brest,fr Ligue 1,29,28.8,48.6,27,297,2430,27.0,42,24,66,35,7,9,51,2,37.5,30.5,23.1,53.6,367,888,1.56,0.89,2.44,1.3,2.19,1.39,0.86,2.25,1.13,1.99,325,122,37.5,12.04,4.52,0.11,0.29,17.2,6,10020,12720,78.8,186538,67728,4147,4770,86.9,4431,5159,85.9,1205,2168,55.6,236,746,155,52,370,97,518,112,49,57,0,38,226,583,21.59,398,65,22,38,43,17,69,2.56,43,3,4,11,6,2,514,335,242,455,53.2,213,285,81,204,247,761,695,10,15793,1778,5404,7101,3418,516,8151,390,9943,876,1,340,311,1179,439,418,51.2,42,1.56,109,67,66.1,12,4,11,8,29.6,5,1,1,5,1,2,1,36.3,0.29,-4.7,-0.18,743,47.2,398,28,7.0,34,1.26,15.1
Brighton,eng Premier League,30,25.6,51.8,29,319,2610,29.0,46,30,76,43,3,3,62,1,43.6,41.3,30.8,72.1,619,1162,1.59,1.03,2.62,1.48,2.52,1.5,1.06,2.57,1.42,2.48,399,135,33.8,13.76,4.66,0.11,0.32,17.2,20,11918,14480,82.3,203419,70066,5724,6335,90.4,4911,5619,87.4,1023,1853,55.2,279,875,251,65,391,60,504,143,84,34,4,33,233,706,24.34,514,53,46,36,44,13,82,2.83,57,5,8,3,7,2,526,313,257,546,47.1,289,339,97,242,247,773,583,20,17947,2049,5875,7793,4483,798,10334,445,11773,1149,1,338,328,1263,400,368,52.1,42,1.45,106,66,67.0,12,11,6,7,24.1,7,0,0,7,1,4,2,36.6,0.3,-3.4,-0.12,932,24.6,348,25,7.2,42,1.45,15.4
Cagliari,it Serie A,26,27.3,45.3,30,330,2700,30.0,29,23,52,26,3,3,54,3,35.5,33.2,25.9,59.1,409,926,0.97,0.77,1.73,0.87,1.63,1.18,0.86,2.05,1.11,1.97,351,94,26.8,11.7,3.13,0.07,0.28,15.8,6,9716,12663,76.7,175793,70854,4247,4887,86.9,4349,5157,84.3,964,1987,48.5,250,738,193,75,386,46,615,148,35,105,0,53,264,619,20.63,423,75,32,56,28,5,53,1.77,41,2,1,4,4,1,437,244,200,360,55.6,160,272,103,169,204,641,700,15,15841,2014,6061,6572,3367,534,8458,436,9623,919,3,408,313,1209,499,483,50.8,44,1.47,127,83,70.1,7,8,15,4,13.3,6,0,0,6,0,8,0,45.1,0.32,1.1,0.04,770,39.5,435,18,4.1,23,0.77,11.8
Celta Vigo,es La Liga,30,27.7,54.0,29,319,2610,29.0,41,28,69,35,6,7,70,5,39.8,34.4,29.0,63.4,525,1265,1.41,0.97,2.38,1.21,2.17,1.37,1.0,2.37,1.19,2.18,318,116,36.5,10.97,4.0,0.11,0.3,18.1,14,13853,16553,83.7,239731,79989,6008,6670,90.1,6429,7159,89.8,1076,1867,57.6,249,1083,232,46,380,106,379,102,31,43,0,58,283,571,19.69,449,27,32,33,22,8,72,2.48,57,1,5,3,6,0,426,268,222,442,50.2,220,270,72,198,223,649,619,20,19500,1698,5810,9625,4225,612,11643,421,13777,1257,3,355,332,1200,308,341,47.5,42,1.45,110,69,62.7,11,7,11,6,20.7,1,1,0,1,0,8,2,35.9,0.31,-4.1,-0.14,608,31.8,383,23,6.0,40,1.38,14.2
Chelsea,eng Premier League,29,24.3,58.1,29,319,2610,29.0,52,40,92,49,3,4,81,1,55.9,52.7,42.9,95.7,667,1199,1.79,1.38,3.17,1.69,3.07,1.93,1.48,3.41,1.82,3.3,458,157,34.3,15.79,5.41,0.11,0.31,16.5,15,14239,16717,85.2,244862,76844,6411,6981,91.8,6472,7146,90.6,1066,1907,55.9,353,1164,255,47,399,75,477,173,104,22,3,47,228,818,28.21,621,46,46,58,29,18,92,3.17,64,4,8,8,6,2,449,277,216,429,50.3,213,278,83,195,213,662,488,37,19696,1821,5922,8973,4959,870,11428,353,14130,1185,1,342,344,1191,308,296,51.0,37,1.28,132,94,75.8,14,7,8,6,20.7,5,1,0,5,0,4,0,37.8,0.25,0.8,0.03,937,18.5,293,32,10.9,48,1.66,15.1
Como,it Serie A,38,27.0,54.0,30,330,2700,30.0,31,27,58,31,0,2,72,6,34.6,33.1,27.7,60.8,514,1038,1.03,0.9,1.93,1.03,1.93,1.15,0.92,2.07,1.1,2.03,401,136,33.9,13.37,4.53,0.08,0.23,17.9,12,12331,14966,82.4,208657,73753,5853,6457,90.6,5074,5747,88.3,1035,1894,54.6,314,842,216,50,471,77,476,132,37,54,0,55,296,708,23.6,513,70,34,50,30,11,54,1.8,46,1,2,3,0,2,541,339,242,479,50.5,237,275,69,206,227,768,608,16,18169,1847,6179,8016,4137,616,11067,450,12187,1033,3,397,403,1244,381,394,49.2,47,1.57,113,66,64.6,7,9,14,3,10.0,7,0,0,7,0,6,0,36.0,0.27,-11.0,-0.37,911,20.4,334,19,5.7,46,1.53,12.2
Crystal Palace,eng Premier League,27,26.9,43.9,28,308,2520,28.0,34,26,60,32,2,2,58,1,44.1,42.6,33.4,75.9,371,899,1.21,0.93,2.14,1.14,2.07,1.58,1.19,2.77,1.52,2.71,393,134,34.1,14.04,4.79,0.08,0.24,17.1,14,8976,11924,75.3,162318,61023,3887,4553,85.4,4043,4844,83.5,869,1935,44.9,289,685,202,51,333,44,455,133,81,18,0,53,228,669,23.89,485,56,27,54,37,10,62,2.21,40,6,4,8,4,0,608,355,262,514,51.0,252,367,101,266,240,848,782,15,15358,1912,5658,6440,3414,587,7623,358,8912,886,0,303,306,1295,406,502,44.7,33,1.18,109,77,70.6,10,9,9,9,32.1,1,1,0,1,0,2,2,34.9,0.32,3.9,0.14,678,41.5,409,20,4.9,32,1.14,14.6
Dortmund,de Bundesliga,28,27.3,60.4,27,297,2430,27.0,46,35,81,42,4,4,64,6,46.2,43.1,36.2,79.3,564,1281,1.7,1.3,3.0,1.56,2.85,1.71,1.34,3.05,1.6,2.94,382,119,31.2,14.15,4.41,0.11,0.35,16.1,9,13890,16480,84.3,241104,80193,6289,6887,91.3,6199,6877,90.1,1137,1977,57.5,297,1092,260,74,348,82,592,160,79,51,3,35,264,683,25.3,495,49,62,44,21,12,82,3.04,56,4,10,5,4,3,419,258,211,386,54.7,175,299,76,223,186,605,535,17,19541,1682,5540,9575,4595,717,11768,410,13754,1274,3,264,284,1174,378,326,53.7,42,1.56,107,65,63.6,11,5,11,5,18.5,3,0,0,3,0,5,1,39.3,0.35,-1.7,-0.06,884,28.1,330,16,4.8,34,1.26,14.8
